codice;descrizione;marchio;denominazione;regione;vitigno;filosofia;CAPACITA;GRADO_ALC;FAMIGLIA;classe;PREZZO
220;Rivera Il Falcone Castel del Monte Rosso Riserva DOCG;Azienda Vinicola Rivera;Castel del Monte Rosso Riserva�DOCG;PUGLIA;Nero di Troia;Tradizionale;75;13,50%;Vini;Rosso;13,106
1922;Torrevento Bolonero Castel del Monte Rosso DOC;Torrevento;Castel del Monte DOC;PUGLIA;Nero di Troia;Tradizionale;75;13%;Vini;Rosso;4,909
1923;Candido Cappello di Prete Salento IGT;Candido;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;14%;Vini;Rosso;8,475
1926;Produttori di Manduria Madrigale Primitivo di Manduria DOCG Dolce Naturale;Produttori di Manduria;Primitivo di Manduria DOCG Dolce Naturale;PUGLIA;Primitivo di Manduria;Tradizionale;75;15%;Vini;Dolce;11,207
1927;Produttori di Manduria Memoria Primitivo di Manduria DOC;Produttori di Manduria;Primitivo di Manduria DOC;PUGLIA;Primitivo di Manduria;Tradizionale;75;14%;Vini;Rosso;7,039
1936;Paternoster Synthesi Aglianico del Vulture DOC;Paternoster;Aglianico del Vulture DOC;BASILICATA;Aglianico;Tradizionale;75;13%;Vini;Rosso;8,382
1996;Tormaresca Vino Rosso Freddo Fichimori Negroamaro Salento IGT;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12,50%;Vini;Rosso;7,78
4156;Cantina Di Venosa Terre di Orazio Aglianico del Vulture DOC;Cantina Di Venosa;Aglianico del Vulture DOC;BASILICATA;Aglianico;Tradizionale;75;14%;Vini;Rosso;7,271
4157;Polvanera Rosato Puglia IGT;Polvanera;Puglia IGT;PUGLIA;Aleatico;Tradizionale;75;12%;Vini;Rosato;7,086
4158;Produttori di Manduria Aka Primitivo Rosato Salento IGT;Produttori di Manduria;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;13%;Vini;Rosato;6,576
4159;Cantine Due Palme Spumante Melarosa Ros� Extra Dry;Cantine Due Palme;VSQ Vino Spumante di Qualit�;PUGLIA;Negroamaro;Tradizionale;75;11,50%;Bollicine;Ros�;5,465
4161;Cantine Due Palme Serre Susumaniello Salento IGT;Cantine Due Palme;Salento IGT;PUGLIA;Susumaniello;Tradizionale;75;13,50%;Vini;Rosso;7,41
4281;Cantine Del Notaio Il Repertorio Aglianico del Vulture DOC;Cantine Del Notaio;Aglianico del Vulture DOC;BASILICATA;Aglianico;Tradizionale;75;14%;Vini;Rosso;12,411
4282;Cantine Del Notaio Il Rogito Rosato Basilicata IGT;Cantine Del Notaio;Basilicata IGT;BASILICATA;Aglianico;Tradizionale;75;13,50%;Vini;Rosato;10,559
4283;Cantine Del Notaio Il Preliminare Basilicata IGT;Cantine Del Notaio;Basilicata IGT;BASILICATA;Aglianico;Tradizionale;75;13,50%;Vini;Bianco;8,243
4284;Cantine Del Notaio L'Atto Basilicata IGT;Cantine Del Notaio;Basilicata IGT;BASILICATA;Aglianico;Tradizionale;75;13,50%;Vini;Rosso;8,382
4449;Tormaresca Calafuria Rosato Negroamaro Salento IGT;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12%;Vini;Rosato;10,327
4586;San Marzano Tramari Ros� di Primitivo Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;12,50%;Vini;Rosato;7,595
5056;Feudi Di San Gregorio Falanghina del Sannio DOC;Feudi Di San Gregorio;Falanghina del Sannio DOC;CAMPANIA;Falanghina;Tradizionale;75;12,50%;Vini;Bianco;7,178
5689;Leone De Castris Five Roses Rosato Salento IGT;Leone De Castris;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12,50%;Vini;Rosato;8,058
11709;San Marzano Il Pumo Primitivo Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;13,50%;Vini;Rosso;5,465
12722;Paololeo Varietali Primitivo Salento IGT;Cantine PaoloLeo;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;13,50%;Vini;Rosso;4,492
13001;San Marzano Il Pumo Rosso Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;;Tradizionale;75;13%;Vini;Rosso;5,465
13306;Paololeo Varietali Negroamaro Salento IGT;Cantine PaoloLeo;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;13%;Vini;Rosso;4,492
13554;Mionetto Prosecco Avantgarde Collection Extra Dry Valdobbiadene Superiore DOCG;Mionetto;Conegliano Valdobbiadene Prosecco Superiore DOCG;VENETO;Glera;Tradizionale;75;11%;Bollicine;Blanc de Blanc;8,197
14835;Cantine Due Palme Tenuta San Marco Negroamaro Rosato Salento IGT;Cantine Due Palme;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12,50%;Vini;Rosato;3,288
15562;Paololeo Varietali Salice Salentino DOC;Cantine PaoloLeo;Salice Salentino DOC;PUGLIA;Negroamaro;Tradizionale;75;13,50%;Vini;Rosso;4,492
17080;Cantine Due Palme Tenuta San Marco Chardonnay Salento IGT;Cantine Due Palme;Salento IGT;PUGLIA;Chardonnay;Tradizionale;75;12%;Vini;Bianco;3,288
17334;Mastroberardino Lacryma Christi del Vesuvio Rosso DOC;Mastroberardino;Lacryma Christi del Vesuvio DOC;CAMPANIA;Piedirosso;Tradizionale;75;12,50%;Vini;Rosso;8,382
18269;Mionetto Spumante MO Collection Sergio Extra Dry;Mionetto;VSQ Vino Spumante di Qualit�;VENETO;;Tradizionale;75;11%;Bollicine;Blanc de Blanc;7,827
19319;Frescobaldi R�mole Toscana IGT;Marchesi de' Frescobaldi;Toscana IGT;TOSCANA;Sangiovese;Tradizionale;75;12,50%;Vini;Rosso;4,539
19502;Bottega Spumante Stefano Bottega Millesimato Brut ;Bottega;VSQ Vino Spumante di Qualit�;VENETO;Glera;Tradizionale;75;11%;Bollicine;Blanc de Blanc;4,353
20221;Rivera Rup�colo Rosso Castel del Monte DOC;Azienda Vinicola Rivera;Castel del Monte DOC;PUGLIA;Nero di Troia;Tradizionale;75;13%;Vini;Rosso;4,816
20415;Toso Fiocco di Vite Prosecco Frizzante DOC;Toso;Prosecco DOC;VENETO;Glera;Tradizionale;75;10,50%;Bollicine;Blanc de Blanc;3,844
20504;Frescobaldi R�mole Ros� Toscana IGT;Marchesi de' Frescobaldi;Toscana IGT;TOSCANA;Sangiovese;Tradizionale;75;11,50%;Vini;Rosato;4,909
20940;Frescobaldi Santo Spirito 11 Vino Liquoroso;Marchesi de' Frescobaldi;VDT Vino da Tavola;TOSCANA;Trebbiano Toscano;Tradizionale;75;16%;Vini;Dolce;5,511
21124;Bolla Le Poiane Valpolicella Ripasso Classico Superiore DOC;Bolla;Valpolicella Ripasso DOC;VENETO;Corvina;Tradizionale;75;14%;Vini;Rosso;12,319
21221;Paololeo Orfeo Negroamaro Puglia IGT;Cantine PaoloLeo;Puglia IGT;PUGLIA;Negroamaro;Tradizionale;75;14,50%;Vini;Rosso;12,411
37422;Duca di Salaparuta Colomba Platino Insolia Terre Siciliane IGT;Duca di Salaparuta;Terre Siciliane IGT;SICILIA;Inzolia;Tradizionale;75;12%;Vini;Bianco;8,058
37423;Duca di Salaparuta Colomba Platino Nero DAvola Terre Siciliane IGT;Duca di Salaparuta;Terre Siciliane IGT;SICILIA;Nero dAvola;Tradizionale;75;13,50%;Vini;Rosso;7,873
37638;A Mano Prima Mano Primitivo Puglia IGP;A Mano;Puglia IGT;PUGLIA;Primitivo;Tradizionale;75;15%;Vini;Rosso;15,792
37639;Abate Nero Brut Ros� Trento DOC;Abate Nero;Trento DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Ros�;15,283
37640;Abbazia di Novacella Gew�rztraminer Alto Adige Valle Isarco DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Gew�rztraminer;Tradizionale;75;14%;Vini;Bianco;12,55
37641;Abbazia di Novacella Kerner Alto Adige Valle Isarco DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Kerner;Tradizionale;75;13,50%;Vini;Bianco;11,207
37642;Abbazia di Novacella Lagrein Alto Adige DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Lagrein;Tradizionale;75;13%;Vini;Rosso;11,068
37643;Abbazia di Novacella M�ller Thurgau Alto Adige Valle Isarco DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;M�ller Thurgau;Tradizionale;75;12,50%;Vini;Bianco;10,096
37644;Abbazia di Novacella Pinot Nero Alto Adige DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;13,50%;Vini;Rosso;11,948
37645;Abbazia di Novacella Riesling Alto Adige Valle Isarco DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Riesling Renano;Tradizionale;75;13,50%;Vini;Bianco;11,485
37646;Abbazia di Novacella Sauvignon Alto Adige DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Sauvignon Blanc;Tradizionale;75;13,50%;Vini;Bianco;11,809
37647;Abbazia di Novacella Schiava Alto Adige DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Schiava;Tradizionale;75;12,50%;Vini;Rosso;8,892
37648;Abbazia di Novacella St. Magdalener Alto Adige DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Schiava;Tradizionale;75;13%;Vini;Rosso;9,679
37649;Abbazia di Novacella Sylvaner Alto Adige Valle Isarco DOC;Abbazia di Novacella;Alto Adige DOC;TRENTINO-ALTO ADIGE;Sylvaner;Tradizionale;75;13,50%;Vini;Bianco;10,929
37650;Allegrini Fieramonte Amarone della Valpolicella Classico Riserva DOCG;Allegrini;Amarone della Valpolicella DOCG;VENETO;Corvina;Tradizionale;75;17%;Vini;Rosso;249,943
37651;Allegrini Corte Giara La Groletta Amarone della Valpolicella DOCG;Allegrini;Amarone della Valpolicella DOCG;VENETO;Corvina;Tradizionale;75;15%;Vini;Rosso;24,128
37652;Allegrini Amarone della Valpolicella Classico DOCG;Allegrini;Amarone della Valpolicella DOCG;VENETO;Corvina;Tradizionale;75;16%;Vini;Rosso;58,028
37653;Allegrini Amarone della Valpolicella Classico DOCG Magnum;Allegrini;Amarone della Valpolicella DOCG;VENETO;Corvina;Tradizionale;150;16%;Vini;Rosso;139,583
37654;Allegrini Valpolicella Superiore DOC;Allegrini;Valpolicella DOC;VENETO;Corvina;Tradizionale;75;13,50%;Vini;Rosso;11,207
37655;Allegrini Valpolicella Classico DOC;Allegrini;Valpolicella DOC;VENETO;Corvina;Tradizionale;75;12,50%;Vini;Rosso;8,568
37656;Allegrini Corte Giara Valpolicella DOC;Allegrini;Valpolicella DOC;VENETO;Corvina;Tradizionale;75;12,50%;Vini;Rosso;6,761
37657;Allegrini Corte Giara La Groletta Valpolicella Ripasso DOC;Allegrini;Valpolicella Ripasso DOC;VENETO;Corvina;Tradizionale;75;13,50%;Vini;Rosso;9,911
37658;Allegrini La Poja Verona IGT;Allegrini;Verona IGT;VENETO;Corvina;Tradizionale;75;14,50%;Vini;Rosso;67,615
37659;Allegrini Palazzo della Torre Verona IGT;Allegrini;Verona IGT;VENETO;Corvina;Tradizionale;75;13,50%;Vini;Rosso;12,643
37660;Allegrini La Grola Verona IGT;Allegrini;Verona IGT;VENETO;Corvina;Tradizionale;75;14,50%;Vini;Rosso;16,857
37661;Antica Fratta Essence Sat�n Brut Millesimato Franciacorta DOCG;Antica Fratta;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;13%;Bollicine;Blanc de Blanc;20,238
37662;Antica Fratta Essence Nature Millesimato Franciacorta Dosaggio Zero DOCG;Antica Fratta;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;13%;Bollicine;Blanc de Noir;20,748
37663;Antica Fratta Quintessence Riserva Extra Brut Millesimato Franciacorta DOCG;Antica Fratta;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;13%;Bollicine;Blanc de Noir;43,533
37664;Antica Fratta Cuv�e Real Brut Franciacorta DOCG;Antica Fratta;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;13%;Bollicine;Blanc de Noir;16,487
37665;Antica Fratta Essence Brut Millesimato Franciacorta DOCG;Antica Fratta;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;13%;Bollicine;Blanc de Noir;20,748
